id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34477631,"Friendly family home, double bed, close to centre",260249073,Nita,,Filwood,51.42933,-2.59346,Private room,34,1,155,2022-09-19,3.86,1,96,55,
34505914,"Comfortable room, quiet road with easy parking.",260432780,Caroline,,St George Troopers Hill,51.45765,-2.54099,Private room,28,1,68,2022-09-16,1.69,1,64,30,
34566626,Rowan Tree #8 - Your Apartment,125651447,Your Apartment,,Cotham,51.46321,-2.60058,Entire home/apt,370,1,6,2022-04-12,0.17,64,266,1,
34573443,Double Sleeper,13236513,Errol,,Easton,51.46504,-2.56181,Private room,43,1,44,2022-09-14,5.00,2,357,44,
34584604,Rowan Tree #7,125651447,Your Apartment,,Cotham,51.46161,-2.5998,Entire home/apt,368,1,4,2022-07-13,0.10,64,343,1,
34584845,Rowan Tree #6 - Your Apartment,125651447,Your Apartment,,Cotham,51.46144,-2.60024,Entire home/apt,369,1,7,2022-05-08,0.18,64,349,4,
34584887,Rowan Tree #5 - Your Apartment,125651447,Your Apartment,,Cotham,51.46135,-2.59981,Entire home/apt,370,1,5,2020-07-25,0.12,64,325,0,
34602703,Cotham Apartment Stokes Croft BS6 Bristol Views,2908382,GregandClare,,Cotham,51.46486,-2.5921,Entire home/apt,77,3,42,2022-08-21,1.09,3,333,22,
34697506,Sun drenched. well located- 2 room garden Annex,102749733,Carlos And Vittoria,,Bishopston & Ashley Down,51.48,-2.58541,Entire home/apt,108,2,77,2022-09-18,1.90,1,331,15,
34708584,Big Private double bedroom in family home.,261770998,Sheida,,Horfield,51.49303,-2.5791,Private room,66,2,39,2022-08-19,1.06,2,176,14,
34737780,Spacious & airy family home near Gloucester Rd,261981528,Ian,,Redland,51.47623,-2.5997,Entire home/apt,276,2,11,2022-07-04,0.29,1,0,3,
34781012,Beautiful flat in the heart of Stokes Croft,239308,Rachel,,Ashley,51.46536,-2.5899,Entire home/apt,69,2,9,2019-11-17,0.23,1,0,0,
34830962,Beautiful Central Apartment - Free Secure Parking!,37526160,Adam,,Ashley,51.45964,-2.58497,Entire home/apt,71,2,264,2022-09-15,6.73,3,23,108,
34837413,Private room in a house shared house.,5312770,Sigrid,,Horfield,51.50419,-2.57179,Private room,55,1,4,2022-09-07,0.11,3,42,1,
34923083,"Rural family home, 5 minutes from Clifton Village",70271957,Barnaby,,Avonmouth & Lawrence Weston,51.47217,-2.6699,Entire home/apt,182,1,42,2022-09-17,1.07,1,289,22,
34958631,★Large 4 story  house hidden in Central Bristol★,46399716,Charles,,Central,51.45401,-2.59648,Entire home/apt,85,5,88,2022-06-04,2.22,2,0,29,
34960416,Gorgeous home. Great Location. Off-street Parking.,263414949,Damien,,Cotham,51.46643,-2.60086,Private room,46,1,40,2022-09-05,1.00,1,32,12,
34983469,Lovely Greenbank Garden Flat,119969402,Jennifer,,Easton,51.46658,-2.55772,Entire home/apt,36,2,5,2022-09-16,0.13,1,0,2,
35031335,Double room,138176848,Cristina,,St George Central,51.46634,-2.53347,Private room,35,3,8,2020-01-05,0.20,1,123,0,
35122629,"Lovely room, King Size bed - good for contractors",238268860,Saghi,,Avonmouth & Lawrence Weston,51.49389,-2.64742,Private room,35,3,41,2022-08-22,1.04,3,72,12,
35141531,Rowan Tree #3 - Your Apartment,125651447,Your Apartment,,Cotham,51.46158,-2.60164,Entire home/apt,369,1,14,2022-04-09,0.36,64,52,4,
35145131,Rowan Tree #4 - Your Apartment,125651447,Your Apartment,,Cotham,51.46274,-2.60359,Entire home/apt,369,1,17,2022-08-07,0.44,64,278,4,
35148411,Detached family home with large secure garden,86563148,Caja,,Avonmouth & Lawrence Weston,51.47894,-2.68738,Entire home/apt,140,7,12,2022-08-29,0.32,1,0,3,
35149961,Rowan Tree #2 - Garden Apartment - Your Apartment,125651447,Your Apartment,,Central,51.46172,-2.60336,Entire home/apt,375,1,14,2022-07-07,0.36,64,273,4,
35153861,Rowan Tree #1 - Garden Apartment - Your Apartment,125651447,Your Apartment,,Cotham,51.4628,-2.60349,Entire home/apt,375,1,39,2022-08-29,1.02,64,266,17,
35265468,Lovely quiet & clean private room in shared house,63388767,Samantha,,Avonmouth & Lawrence Weston,51.48848,-2.67229,Private room,35,1,3,2022-05-26,0.29,2,166,3,
35280084,Light & bright double room in a creative house.,27566850,Sarah,,St George Central,51.45825,-2.52903,Private room,42,1,10,2022-08-25,0.25,1,165,9,
35286646,Comfort,265666736,Antonette,,Lockleaze,51.48499,-2.56752,Entire home/apt,42,1,169,2022-08-14,4.25,1,83,53,
35293612,Chic space close to the amazing Gloucester Road,56484739,Rich,,Redland,51.47706,-2.59755,Entire home/apt,93,2,93,2022-09-17,2.40,1,70,26,
35297082,Lovely Double Room in Bristol w. Private Bathroom,27324664,Zoe,,Brislington West,51.43756,-2.56343,Private room,55,2,31,2022-09-09,0.82,2,59,20,
35336748,Modern apartment in the heart of Bristol,62615406,Toby,,Bedminster,51.4434,-2.62434,Entire home/apt,163,2,18,2022-08-14,0.55,1,339,8,
35343436,"Stylish Spacious Deluxe Garden Flat, Clifton",266084717,Anna,,Clifton,51.45205,-2.61783,Entire home/apt,131,3,102,2022-09-18,2.56,1,266,43,
35380074,Spacious room with Queen bed (150X200cm),170579235,Laxi,,Henbury & Brentry,51.52892,-2.57865,Private room,38,3,70,2022-08-19,1.78,1,16,25,
35396837,X LARGE DOUBLE CENTRAL ROOM COFFEE & TEA MON - FRI,13941584,Som,,Easton,51.45871,-2.55583,Entire home/apt,45,4,14,2021-10-28,0.37,2,0,1,
35403723,Stunning Arty Apartment in the heart of Clifton,44734831,Simon,,Clifton,51.4602,-2.6159,Entire home/apt,110,1,144,2022-09-11,3.69,2,23,69,
35480463,Burlington Apartment Above Whiteladies Road,65192629,Hopewell,,Clifton Down,51.4693,-2.61348,Entire home/apt,110,1,31,2021-05-31,0.79,157,0,0,
35489030,CozyFeel Rooms Mini,265214575,Ubong,,St George Troopers Hill,51.45567,-2.5141,Private room,30,2,11,2021-06-18,0.29,2,151,0,
35533326,"Entire 2 bed house with office, just off North St.",77107257,Becky,,Bedminster,51.43932,-2.60772,Entire home/apt,35,2,52,2022-05-15,1.31,1,0,4,
35589909,Coldharbour Suites  - No 1 - Hopewell,65192629,Hopewell,,Redland,51.48034,-2.60424,Entire home/apt,81,1,11,2021-10-03,0.29,157,288,1,
35590957,Coldharbour Suites- No 2 Studio- Hopewell,65192629,Hopewell,,Westbury-on-Trym & Henleaze,51.48185,-2.60432,Entire home/apt,76,1,24,2022-06-19,0.61,157,0,3,
35591504,Coldharbour Suites - No 3 Studio- Hopewell,65192629,Hopewell,,Redland,51.47967,-2.60482,Entire home/apt,76,1,34,2022-07-17,0.86,157,0,2,
35592702,Coldharbour Suites - No 4 - Hopewell,65192629,Hopewell,,Westbury-on-Trym & Henleaze,51.48118,-2.60608,Entire home/apt,81,1,14,2022-08-01,0.36,157,0,1,
35592983,Coldharbour Suites - No 5 - Hopewell,65192629,Hopewell,,Westbury-on-Trym & Henleaze,51.48041,-2.60705,Entire home/apt,81,1,25,2022-07-31,0.63,157,263,2,
35594330,Coldharbour Suites- No 6 Studio- Hopewell,65192629,Hopewell,,Westbury-on-Trym & Henleaze,51.48058,-2.60719,Entire home/apt,74,1,36,2022-09-14,0.91,157,0,5,
35622129,"C4M HOUSE- garden, driveway & street parking free",234163117,Carl,,Avonmouth & Lawrence Weston,51.50057,-2.66313,Entire home/apt,85,2,28,2020-10-25,0.71,1,112,0,
35648245,& Cosy Apartment in the heart of Stokes Croft,101267565,Aneta,,Ashley,51.46416,-2.58679,Entire home/apt,73,1,105,2022-07-31,2.75,21,28,17,
35649114,& Comfortable apartment for small groups,101267565,Aneta,,Ashley,51.46446,-2.58699,Entire home/apt,56,1,140,2022-09-11,3.68,21,66,68,
35669202,Studio room with small kitchen area and en-suite.,246607598,Ian,,Bedminster,51.43439,-2.65251,Entire home/apt,61,1,230,2022-09-18,5.86,1,66,81,
35675717,Clifton Flat on Royal Park - Beautiful 2 bedroom,43913097,George,,Clifton,51.45742,-2.61658,Entire home/apt,48,2,39,2022-09-14,1.15,1,249,26,
35712169,The Studio,215869954,Tree,,Avonmouth & Lawrence Weston,51.49413,-2.66868,Private room,86,2,112,2022-09-11,2.83,1,148,33,
35734506,"Beautiful, quirky flat in fantastic location",9267640,Liv,,Clifton,51.45095,-2.62367,Entire home/apt,136,3,13,2020-05-02,0.33,1,363,0,
35792139,R4 PRIVATE ROOM ON ATTIC,32862540,Patrycja,,Eastville,51.47383,-2.54917,Private room,53,2,21,2021-12-31,0.53,10,4,1,
35837954,Modern house with great views near centre,1273062,Tim,,Windmill Hill,51.44494,-2.58063,Entire home/apt,200,6,0,,,1,78,0,
35840396,* THE ROOF * Apartment HEART of Bristol,87685789,Anna,,Central,51.4533,-2.59628,Entire home/apt,156,1,120,2022-08-26,3.10,1,43,31,
35848353,Double room in a house in Filton.,5312770,Sigrid,,Horfield,51.50207,-2.57339,Private room,65,1,7,2019-11-07,0.18,3,43,0,
35891267,⭐️Spacious & Homely 4 bed on Gloucester road⭐️,255356906,Lisa,,Cotham,51.46906,-2.59567,Entire home/apt,275,2,4,2019-08-18,0.10,1,196,0,
35909111,Luxury garden flat in Clifton village with parking,17138780,Andrew,,Clifton,51.45672,-2.61545,Entire home/apt,171,2,187,2022-09-05,4.81,1,124,77,
35950501,Renovated Victorian house with all modern comforts,44194705,Chris,,Windmill Hill,51.4441,-2.5797,Entire home/apt,191,2,53,2022-08-21,1.37,1,311,22,
35995017,Bright and quiet room with great location,152367024,Max,,Windmill Hill,51.4417,-2.57682,Private room,61,2,62,2022-09-05,1.58,1,78,16,
36024656,"Cool, eclectic interiors in this period property",5384773,Lisa,,Cotham,51.46557,-2.59261,Entire home/apt,124,2,27,2022-09-04,0.71,2,85,18,
36027135,"Very special, charming cottage in Clifton Village",52621660,Elspeth,,Clifton,51.45349,-2.61504,Entire home/apt,244,1,155,2022-09-15,7.70,1,119,72,
36095209,"Flat, Old City Centre",27954975,Johnie,,Central,51.45471,-2.59323,Entire home/apt,89,2,143,2022-09-04,3.66,3,333,64,
36136866,"A modern, central 2-bed flat with parking!",79986722,Matthew,,Ashley,51.45988,-2.58694,Entire home/apt,139,3,17,2022-07-25,0.45,1,2,11,
